"id"	"description"	"en"	"local"
""	""	"Steering"	"Рульове"
""	""	"Accepts a value between -1 and 1 that represents the extremes of the wheels steering rotation"	"Приймає значення від -1 до 1, яке представляє крайнощі обертання рульового управління колесами"
""	""	"Wheel 5x5 (Suspension)"	"Колесо 5x5 (підвіска)"
""	""	"The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input."	"Колесо буде обертатися вперед і назад в залежності від одержуваної потужності. Його можна повертати вліво і вправо, посилаючи цифровий сигнал на рульовий вхід. Його також можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"Medium steerable wheel with suspension, power connection, and braking."	"Середньокероване колесо з підвіскою, підключенням до джерела живлення та гальмуванням."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Steering"	"Рульове"
""	""	"Accepts a value between -1 and 1 that represents the extremes of the wheels steering rotation"	"Приймає значення від -1 до 1, яке представляє крайнощі обертання рульового управління колесами"
""	""	"Wheel 7x7"	"Колесо 7х7"
""	""	"The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input."	"Колесо буде обертатися вперед і назад в залежності від одержуваної потужності. Його можна повертати вліво і вправо, посилаючи цифровий сигнал на рульовий вхід. Його також можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"Large steerable wheel with power connection and braking."	"Велике кероване колесо з підключенням до мережі живлення та гальмуванням."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Steering"	"Рульове"
""	""	"Accepts a value between -1 and 1 that represents the extremes of the wheels steering rotation"	"Приймає значення від -1 до 1, яке представляє крайнощі обертання рульового управління колесами"
""	""	"Wheel 7x7 (Suspension)"	"Колесо 7x7 (підвіска)"
""	""	"The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input."	"Колесо буде обертатися вперед і назад в залежності від одержуваної потужності. Його можна повертати вліво і вправо, посилаючи цифровий сигнал на рульовий вхід. Його також можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"Large steerable wheel with suspension, power connection, and braking."	"Велике кероване колесо з підвіскою, силовим підключенням і гальмуванням."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Steering"	"Рульове"
""	""	"Accepts a value between -1 and 1 that represents the extremes of the wheels steering rotation"	"Приймає значення від -1 до 1, яке представляє крайнощі обертання рульового управління колесами"
""	""	"Wheel 9x9"	"Колесо 9х9"
""	""	"The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input."	"Колесо буде обертатися вперед і назад в залежності від одержуваної потужності. Його можна повертати вліво і вправо, посилаючи цифровий сигнал на рульовий вхід. Його також можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"XLarge steerable wheel with power connection and braking."	"Кероване колесо XLarge з підключенням до джерела живлення та гальмуванням."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Steering"	"Рульове"
""	""	"Accepts a value between -1 and 1 that represents the extremes of the wheels steering rotation"	"Приймає значення від -1 до 1, яке представляє крайнощі обертання рульового управління колесами"
""	""	"Wheel 9x9 (Suspension)"	"Колесо 9x9 (підвіска)"
""	""	"The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input."	"Колесо буде обертатися вперед і назад в залежності від одержуваної потужності. Його можна повертати вліво і вправо, посилаючи цифровий сигнал на рульовий вхід. Його також можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"XLarge steerable wheel with suspension, power connection, and braking."	"Кероване колесо XLarge з підвіскою, силовим з'єднанням і гальмуванням."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Steering"	"Рульове"
""	""	"Accepts a value between -1 and 1 that represents the extremes of the wheels steering rotation"	"Приймає значення від -1 до 1, яке представляє крайнощі обертання рульового управління колесами"
""	""	"Wheel Coaster"	"Колісні гірки"
""	""	"You cannot control the forward and backward rotation of this wheel, but it can be locked into place by sending an on signal to the brake input."	"Ви не можете контролювати рух цього колеса вперед і назад, але його можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"Simple small wheel that requires no engine power and spins freely."	"Просте маленьке колесо, яке не вимагає потужності двигуна і вільно обертається."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Large Landing Wheel"	"Велике посадкове колесо"
""	""	"You cannot control the forward and backward rotation of this wheel, but it can be locked into place by sending an on signal to the brake input."	"Ви не можете контролювати рух цього колеса вперед і назад, але його можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"Large landing wheel that requires no engine power and spins freely."	"Велике посадкове колесо, яке не вимагає потужності двигуна і вільно обертається."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Medium Wheel"	"Середнє колесо"
""	""	"The wheel will rotate forwards and backwards depending on power received from a connected engine. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input."	"Колесо буде обертатися вперед і назад в залежності від потужності, одержуваної від підключеного двигуна. Його можна повертати вліво і вправо, посилаючи цифровий сигнал на рульовий вхід. Його також можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"Medium wheel that can be controlled using an engine."	"Середнє колесо, яким можна керувати за допомогою двигуна."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Steering"	"Рульове"
""	""	"Accepts a value between -1 and 1 that represents the extremes of the wheels steering rotation"	"Приймає значення від -1 до 1, яке представляє крайнощі обертання рульового управління колесами"
""	""	"Small Wheel"	"Маленьке колесо"
""	""	"The wheel will rotate forwards and backwards depending on power received from a connected engine. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input."	"Колесо буде обертатися вперед і назад в залежності від потужності, одержуваної від підключеного двигуна. Його можна повертати вліво і вправо, посилаючи цифровий сигнал на рульовий вхід. Його також можна зафіксувати на місці, надіславши сигнал включення на вхід гальма."
""	""	"Small wheel that can be controlled using an engine."	"Невелике колесо, яким можна керувати за допомогою двигуна."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Variable Brake"	"Змінне гальмо"
""	""	"A value between 0 and 1 for soft braking"	"Значення від 0 до 1 для м'якого гальмування"
""	""	"Steering"	"Рульове"
""	""	"Accepts a value between -1 and 1 that represents the extremes of the wheels steering rotation"	"Приймає значення від -1 до 1, яке представляє крайнощі обертання рульового управління колесами"
""	""	"Tank Wheel (Small)"	"Танкове колесо (маленьке)"
""	""	"A drive wheel is required to rotate the connected track. The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body."	"Для обертання підключеної колії потрібно провідне колесо. Колесо буде утворювати колію з іншими колесами такого ж розміру і орієнтації, які розміщені в лінію і на одному кузові."
""	""	"Small wheel for tracked vehicles."	"Мале колесо для гусеничної техніки."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"Tank Wheel (Large)"	"Колесо танка (велике)"
""	""	"A drive wheel is required to rotate the connected track. The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body."	"Для обертання підключеної колії потрібно провідне колесо. Колесо буде утворювати колію з іншими колесами такого ж розміру і орієнтації, які розміщені в лінію і на одному кузові."
""	""	"Medium wheel for tracked vehicles."	"Середнє колесо для гусеничної техніки."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"Tank Wheel (Medium)"	"Колесо танка (середнє)"
""	""	"A drive wheel is required to rotate the connected track. The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body."	"Для обертання підключеної колії потрібно провідне колесо. Колесо буде утворювати колію з іншими колесами такого ж розміру і орієнтації, які розміщені в лінію і на одному кузові."
""	""	"Medium wheel for tracked vehicles."	"Середнє колесо для гусеничної техніки."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"Tank Wheel (Huge)"	"Танкове колесо (величезне)"
""	""	"A drive wheel is required to rotate the connected track. The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body."	"Для обертання підключеної колії потрібно провідне колесо. Колесо буде утворювати колію з іншими колесами такого ж розміру і орієнтації, які розміщені в лінію і на одному кузові."
""	""	"Large wheel for tracked vehicles."	"Велике колесо для гусеничної техніки."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"Tank Drive Wheel (Small)"	"Приводне колесо бака (невелике)"
""	""	"The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body."	"Колесо буде утворювати колію з іншими колесами такого ж розміру і орієнтації, які розміщені в лінію і на одному кузові."
""	""	"Small drive wheel for tracked vehicles."	"Невелике провідне колесо для гусеничної техніки."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Tank Drive Wheel (Large)"	"Провідне колесо танка (велике)"
""	""	"The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body."	"Колесо буде утворювати колію з іншими колесами такого ж розміру і орієнтації, які розміщені в лінію і на одному кузові."
""	""	"Medium drive wheel for tracked vehicles."	"Середнє ведуче колесо для гусеничної техніки."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Tank Drive Wheel (Medium)"	"Приводне колесо танка (середнє)"
""	""	"The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body."	"Колесо буде утворювати колію з іншими колесами такого ж розміру і орієнтації, які розміщені в лінію і на одному кузові."
""	""	"Medium drive wheel for tracked vehicles."	"Середнє ведуче колесо для гусеничної техніки."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Tank Drive Wheel (Huge)"	"Приводне колесо танка (величезне)"
""	""	"The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body."	"Колесо буде утворювати колію з іншими колесами такого ж розміру і орієнтації, які розміщені в лінію і на одному кузові."
""	""	"Large drive wheel for tracked vehicles."	"Велике провідне колесо для гусеничної техніки."
""	""	"Brake"	"Гальмо"
""	""	"Locks the wheel into place when receiving an on signal."	"Фіксує колесо на місце при отриманні сигналу включення."
""	""	"RPS"	"РПС"
""	""	"Receives power generated by an engine to control forward and backward rotation."	"Отримує потужність, що генерується двигуном для управління обертанням вперед і назад."
""	""	"Medium Winch (Deprecated)"	"Середня лебідка (застаріла)"
""	""	"The winch is operated electrically, and outputs its current length."	"Лебідка управляється електрично, і видає свою довжину струму."
""	""	"A building block attached to the end of a 20m mechanical winch that can be raised and lowered."	"Будівельний блок, прикріплений до кінця механічної лебідки довжиною 20 м, яку можна піднімати та опускати."
""	""	"Up"	"Вверх"
""	""	"Raises the winch cable up when receiving an on signal."	"Піднімає трос лебідки вгору при отриманні включеного сигналу."
""	""	"Down"	"Вниз"
""	""	"Lowers the winch cable down when receiving an on signal."	"Опускає кабель лебідки вниз при отриманні включеного сигналу."
""	""	"Length"	"Довжина"
""	""	"The current length of the winch cable in metres."	"Поточна довжина троса лебідки в метрах."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for the hose coil."	"З'єднання рідини для котушки шланга."
""	""	"winch end"	"кінець лебідки"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for the end of the hose."	"З'єднання рідини для кінця шланга."
""	""	"Small Winch (Deprecated)"	"Маленька лебідка (не підтримується)"
""	""	"The winch is operated electrically, and outputs its current length."	"Лебідка управляється електрично, і видає свою довжину струму."
""	""	"A building block attached to the end of a 10m mechanical winch that can be raised and lowered."	"Будівельний блок, прикріплений до кінця механічної лебідки довжиною 10 м, яку можна піднімати та опускати."
""	""	"Up"	"Вверх"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Down"	"Вниз"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for the hose coil."	"З'єднання рідини для котушки шланга."
""	""	"winch end"	"кінець лебідки"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for the end of the hose."	"З'єднання рідини для кінця шланга."
""	""	"Huge Winch (Deprecated)"	"Величезна лебідка (застаріла)"
""	""	"The winch is operated electrically, and outputs its current length."	"Лебідка управляється електрично, і видає свою довжину струму."
""	""	"A building block attached to the end of a 500m mechanical winch that can be raised and lowered."	"Будівельний блок, прикріплений до кінця механічної лебідки довжиною 500 м, яку можна піднімати та опускати."
""	""	"Up"	"Вверх"
""	""	"Raises the winch cable up when receiving an on signal."	"Піднімає трос лебідки вгору при отриманні включеного сигналу."
""	""	"Down"	"Вниз"
""	""	"Lowers the winch cable down when receiving an on signal."	"Опускає кабель лебідки вниз при отриманні включеного сигналу."
""	""	"Length"	"Довжина"
""	""	"The current length of the winch cable in metres."	"Поточна довжина троса лебідки в метрах."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for the hose coil."	"З'єднання рідини для котушки шланга."
""	""	"winch end"	"кінець лебідки"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for the end of the hose."	"З'єднання рідини для кінця шланга."
""	""	"Large Winch (Deprecated)"	"Велика лебідка (не підтримується)"
""	""	"The winch is operated electrically, and outputs its current length."	"Лебідка управляється електрично, і видає свою довжину струму."
""	""	"A building block attached to the end of a 100m mechanical winch that can be raised and lowered."	"Будівельний блок, прикріплений до кінця механічної лебідки довжиною 100 м, яку можна піднімати та опускати."
""	""	"Up"	"Вверх"
""	""	"Raises the winch cable up when receiving an on signal."	"Піднімає трос лебідки вгору при отриманні включеного сигналу."
""	""	"Down"	"Вниз"
""	""	"Lowers the winch cable down when receiving an on signal."	"Опускає кабель лебідки вниз при отриманні включеного сигналу."
""	""	"Length"	"Довжина"
""	""	"The current length of the winch cable in metres."	"Поточна довжина троса лебідки в метрах."
""	""	"Electric"	"Живлення"
""	""	"Electrical power connection."	"Живлення для працездатності підсвідки."
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for the hose coil."	"З'єднання рідини для котушки шланга."
""	""	"winch end"	"кінець лебідки"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Fluid"	"Рідини"
""	""	"Fluid connection for the end of the hose."	"З'єднання рідини для кінця шланга."
""	""	"Window 1x1"	"Вікно 1x1"
""	""	"Sits flush with walls and ceilings."	"Сидить врівень зі стінами і стелею."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Inverse Pyramid 1x1"	"Вікно Обернена піраміда 1x1"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Pyramid 1x1x1"	"Піраміда вікна 1х1х1"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 1x1x1"	"Кут вікна: 1x1x1"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window 1x2"	"Вікно 1x2"
""	""	"Sits flush with walls and ceilings."	"Сидить врівень зі стінами і стелею."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window 2x2"	"Вікно 2x2"
""	""	"Sits flush with walls and ceilings."	"Сидить врівень зі стінами і стелею."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Inverse Pyramid 2x2x2"	"Вікно Зворотна піраміда 2x2x2"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Pyramid 2x2x2"	"Піраміда вікна 2х2х2"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window 2x3"	"Вікно 2x3"
""	""	"Sits flush with walls and ceilings."	"Сидить врівень зі стінами і стелею."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 2x3x3"	"Кут вікна: 2x3x3"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 1x2x2"	"Кут вікна 1x2x2"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 2x2x2"	"Кут вікна: 2x2x2"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 3x2x2"	"Кут вікна 3x2x2"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 2x1x1"	"Кут вікна: 2x1x1"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 1x4x4"	"Кут вікна 1x4x4"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 2x4x4"	"Кут вікна 2x4x4"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 3x4x4"	"Кут вікна: 3x4x4"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Corner 3x4"	"Кут вікна 3х4"
""	""	"Corner windows are triangular in shape, making them useful for creating corners between angled windows."	"Кутові вікна мають трикутну форму, що робить їх корисними для створення кутів між кутовими вікнами."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Pyramid 3x3x3"	"Піраміда вікна 3х3х3"
""	""	""""	"Вихід фільтрованого вихлопу"
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Corner Full 1x1"	"Кут вікна повний 1x1"
""	""	"Corner windows are triangular in shape, making them useful for creating corners between angled windows."	"Кутові вікна мають трикутну форму, що робить їх корисними для створення кутів між кутовими вікнами."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Corner Full 4x4"	"Кут вікна повний 4x4"
""	""	"Corner windows are triangular in shape, making them useful for creating corners between angled windows."	"Кутові вікна мають трикутну форму, що робить їх корисними для створення кутів між кутовими вікнами."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Corner Full 3x3"	"Кут вікна повний 3x3"
""	""	"Corner windows are triangular in shape, making them useful for creating corners between angled windows."	"Кутові вікна мають трикутну форму, що робить їх корисними для створення кутів між кутовими вікнами."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Corner Full 2x2"	"Куточок вікна повний 2x2"
""	""	"Corner windows are triangular in shape, making them useful for creating corners between angled windows."	"Кутові вікна мають трикутну форму, що робить їх корисними для створення кутів між кутовими вікнами."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Corner 2x3"	"Куточок вікна 2х3"
""	""	"Corner windows are triangular in shape, making them useful for creating corners between angled windows."	"Кутові вікна мають трикутну форму, що робить їх корисними для створення кутів між кутовими вікнами."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 1x3x4"	"Діамант вікна 1x3x4"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 2x3x4"	"Діамант вікна 2x3x4"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 3x3x4"	"Діамант вікна 3x3x4"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 1x2x3"	"Діамант вікна 1x2x3"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 2x2x3"	"Діамант вікна 2x2x3"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 3x2x3"	"Діамант вікна 3x2x3"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 1x1x2"	"Діамант вікна 1x1x2"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 1x4x5"	"Діамант вікна 1x4x5"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 2x4x5"	"Діамант вікна 2x4x5"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Diamond 3x4x5"	"Діамант вікна 3x4x5"
""	""	"Skewed in all dimensions for building of angular windows."	"Перекіс у всіх розмірах для будівництва кутових вікон."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window 3x3"	"Вікно 3x3"
""	""	"Sits flush with walls and ceilings."	"Сидить врівень зі стінами і стелею."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 3x3x3"	"Кут вікна: 3x3x3"
""	""	"An angled window that can be used for creating cockpits and windscreens. Can also be used to create a corner between flat windows when oriented correctly."	"Кутове вікно, яке можна використовувати для створення кабін і лобового скла. Також може використовуватися для створення кута між плоскими вікнами при правильному орієнтуванні."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window 1x3"	"Вікно 1x3"
""	""	"Sits flush with walls and ceilings."	"Сидить врівень зі стінами і стелею."
""	""	"Basic window piece."	"Основна віконна деталь."
""	""	"Window Angle 1x3x3"	"Кут вікна: 1x3x3"
